Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
425.6 sec,0.00251534028382778,6.71752841737679e-05,77951.3506310419,112.593257720648,5.84816615989959,22.0955055524597,42.6218401636507,37.0895862047446
425.8 sec,0,6.36625330374295e-05,-35373.3782064679,111.156653596998,0,29.5278680195496,44.5409222536746,24.8913100101538
426 sec,0.000427511594526685,6.40777657673034e-05,-14433.2356094248,105.900171431159,0.993964457274543,40,26.6002266194824,35.8576715349192
426.2 sec,0.000427511594526685,6.40777657673034e-05,-14433.2356094248,105.900171431159,0.993964457274543,40,26.6002266194824,35.8576715349192
426.4 sec,0.00276563128425603,6.7159195443919e-05,86842.808120769,119.395198133181,6.43009273589527,28.2127389702471,38.2136898712567,0.617323827124604
426.6 sec,0,6.5003619680795e-05,-34973.2094856093,108.740221838001,0,17.5311888101758,30.7716467725011,13.8515227025916
426.8 sec,0,6.5003619680795e-05,-34973.2094856093,108.740221838001,0,17.5311888101758,30.7716467725011,13.8515227025916
427 sec,0.00347397042022704,6.93191952059376e-05,119478.383247104,117.24800508164,8.07698122702787,40,31.3742747950646,18.4347214771232
427.2 sec,0.00746251911375377,7.85650188480846e-05,298566.166736194,117.77128130349,17.3503569394775,40,30.6888079262078,13.5259938151766
427.4 sec,0.00746251911375377,7.85650188480846e-05,298566.166736194,117.77128130349,17.3503569394775,40,30.6888079262078,13.5259938151766
427.6 sec,0.00490698631236756,7.27610908242483e-05,185996.301951578,110.743650732705,11.4087431762546,25.3221017179702,32.9292347847184,40
427.8 sec,0.000949803316985691,6.89927345303704e-05,8203.10674971897,105.65790161201,2.20829271199173,11.4946868533503,57.5298071632796,14.5062879249324
428 sec,0.000949803316985691,6.89927345303704e-05,8203.10674971897,105.65790161201,2.20829271199173,11.4946868533503,57.5298071632796,14.5062879249324
428.2 sec,0,6.7046078472637e-05,-34500.8562887792,105.204318530207,0,10,39.3956352162833,0
428.4 sec,0,6.37577948162255e-05,-35774.7515790057,112.244738037273,0,38.6589379936246,48.8310323459835,18.906088670749
428.6 sec,0,6.37577948162255e-05,-35774.7515790057,112.244738037273,0,38.6589379936246,48.8310323459835,18.906088670749
428.8 sec,0.00109193478524317,6.88447076334082e-05,13926.6305611129,108.20538020347,2.53874837569036,14.0349350717643,49.1797366213412,0
429 sec,0.00651277045436545,8.08120713740481e-05,257149.994235438,110.518132470232,15.1421913063997,10,60,10.5175236151258
